timestamp,x,y,z
38220.022,2.9,-0.1,-9.1
38220.109,3.4,0.6,-8.7
38220.186,5.8,1.3,-6.7
38220.348,5.8,1.8,-5.7
38220.44,6.6,1.4,-6.1
38220.514,6.7,0.8,-6.5
38220.609,6.7,1.0,-5.8
38220.68,6.4,1.4,-6.3
38220.771,6.6,1.1,-6.5
38220.861,6.7,1.1,-6.4
38220.936,6.3,1.2,-6.4
38221.029,6.4,1.3,-6.4
38221.102,6.4,1.2,-6.4
38221.189,6.2,1.4,-6.6
38221.265,6.4,0.9,-6.6
38221.353,6.4,1.3,-6.4
38221.428,6.5,1.1,-6.3
38221.518,6.0,1.3,-6.4
38221.595,6.0,1.1,-6.3
38221.688,6.3,1.5,-6.6
38221.758,6.2,0.9,-6.5
38221.848,6.3,1.1,-6.2
38221.926,6.3,1.3,-6.3
38222.015,6.1,1.2,-6.3
38222.111,6.2,1.2,-6.2
38222.18,6.3,1.2,-6.2
38222.269,6.3,1.3,-6.8
38222.342,6.3,1.1,-6.4
38222.433,6.2,1.5,-6.4
38222.509,6.3,1.0,-6.4
38222.6,6.3,1.1,-6.6
38222.674,6.3,1.1,-6.3
38222.768,6.5,1.3,-6.4
38222.931,6.0,1.0,-6.2
38223.004,6.2,1.1,-6.4
38223.097,6.2,1.2,-6.7
38223.17,6.2,1.5,-6.4
38223.261,6.1,1.5,-6.5
38223.351,6.0,1.0,-6.2
38223.425,6.2,1.0,-6.6
38223.519,6.4,1.0,-6.6
38223.592,6.2,1.0,-6.3
38223.684,6.2,1.1,-6.6
38223.754,6.3,1.3,-6.7
38223.845,6.4,1.2,-6.6
38223.918,6.1,1.2,-6.2
38224.009,6.4,1.1,-6.6
38224.082,6.1,1.1,-6.2
38224.174,6.3,1.0,-6.3
38224.247,6.5,1.1,-6.6
38224.34,6.1,1.1,-6.6
38224.414,6.3,1.3,-6.1
38224.504,6.2,1.2,-6.2
38224.594,6.4,1.1,-6.1
38224.678,6.4,1.1,-6.6
38224.763,6.3,1.1,-6.6
38224.836,6.2,1.1,-6.6
38224.924,6.3,1.0,-6.3
38225.0,6.4,1.1,-6.4
38225.092,6.3,1.1,-6.6
38225.168,6.3,1.3,-6.6
38225.258,6.1,1.0,-6.4
38225.331,6.3,1.1,-6.4
38225.495,6.1,1.6,-6.4
38225.586,6.2,1.2,-6.1
38225.661,6.2,1.5,-6.3
38225.75,6.2,1.4,-6.3
38225.826,6.2,1.5,-6.5
38225.918,5.9,1.5,-6.4
38226.004,6.1,1.4,-6.0
38226.084,6.1,1.5,-6.3
38226.171,6.1,1.7,-6.3
38226.248,6.2,1.7,-6.7
38226.332,6.4,1.4,-6.6
38226.409,5.8,1.2,-6.5
38226.497,5.9,1.3,-6.4
38226.574,6.0,1.2,-6.7
38226.662,6.1,1.5,-6.4
38226.737,6.0,1.6,-6.1
38226.832,6.2,1.3,-6.3
38226.908,6.2,1.4,-6.2
38226.993,6.1,1.6,-6.6
38227.072,6.4,1.4,-6.1
38227.161,6.2,1.2,-6.3
38227.249,6.2,1.3,-6.4
38227.323,5.9,1.4,-6.4
38227.413,6.1,1.5,-6.4
38227.489,6.2,1.5,-6.4
38227.577,6.3,1.4,-6.0
38227.655,6.1,1.7,-6.4
38227.743,6.2,1.3,-6.0
38227.821,6.1,1.4,-6.6
38227.91,6.0,1.6,-6.0
38227.984,6.0,1.6,-6.2
38228.093,6.3,1.6,-6.4
38228.15,6.3,1.7,-6.6
38228.242,6.2,1.4,-6.4
38228.314,6.3,1.6,-6.3
38228.406,6.1,1.4,-6.4
38228.499,6.0,1.5,-6.6
38228.57,6.1,1.4,-6.4
38228.659,6.2,1.6,-6.7
38228.733,6.0,1.4,-6.5
38228.824,5.7,1.4,-6.7
38228.899,5.2,2.2,-7.2
38228.992,5.4,2.7,-7.8
38229.064,3.8,2.3,-9.1
38229.155,2.4,1.5,-8.9
38229.229,4.3,1.6,-7.8
38229.321,6.7,1.6,-4.5
38229.394,6.7,2.3,-4.7
38229.483,3.3,3.0,-9.5
38229.652,0.4,0.2,-7.7
38229.739,1.3,-0.4,-7.8
38229.814,3.4,-0.8,-9.3
38230.143,0.9,0.4,-9.6
38230.24,0.8,0.2,-9.4
38230.316,0.8,0.1,-9.3
38230.399,0.8,0.1,-9.5
38230.48,0.9,0.0,-9.2
38230.639,0.9,0.3,-9.3
38230.729,0.8,0.1,-9.7
38230.811,1.0,0.1,-9.2
38230.892,0.8,0.4,-9.7
38230.97,0.8,0.0,-9.6
38231.068,0.8,0.1,-9.5
38231.148,0.9,0.1,-9.8
38231.223,0.9,0.2,-9.3
38231.312,0.6,0.3,-9.3
38231.387,0.9,0.4,-9.4
38231.478,0.9,0.1,-9.1
38231.553,0.8,0.3,-9.1
38231.643,1.1,0.5,-9.5
38231.717,0.8,0.1,-9.5
38231.808,0.9,0.2,-9.4
38231.885,1.1,0.3,-9.6
38231.972,0.8,0.3,-8.9
38232.047,0.9,0.2,-9.6
38232.137,1.0,0.5,-9.3
38232.213,0.8,0.3,-9.3
38232.305,0.9,0.2,-9.6
